Location,Line,Mast type,Loc / Load Type,FY19-20,FY20-21,FY21-22,FY22-23,,,,,,,,,,
HJP/3003,HJP YARD L-5,PORTAL,DC,11-04-2019,22-09-2020,,25-04-2022,,,,,,,,,,
HJP/3004,HJP YARD L-5,PORTAL,DC,11-04-2019,20-07-2020,,overdue,,,,,,,,,,
HJP/3006,HJP YARD L-5,PORTAL,SC,11-04-2019,,12-08-2021,,,,,,,,,,,
HJP/3008,HJP YARD L-5,TTC,SC,11-04-2019,,12-08-2021,,,,,,,,,,,
HJP/3012,HJP YARD L-5,TTC,SC,11-04-2019,,12-08-2021,,,,,,,,,,,
HJP/3014,HJP YARD L-5,TTC,SC,11-04-2019,,12-08-2021,,,,,,,,,,,
HJP/3016,HJP YARD L-5,TTC,SC,11-04-2019,,12-08-2021,,,,,,,,,,,
HJP/3018,HJP YARD L-5,TTC,SC,11-04-2019,,12-08-2021,,,,,,,,,,,
HJP/3020,HJP YARD L-5,TTC,SC,11-04-2019,,12-08-2021,,,,,,,,,,,
HJP/3022,HJP YARD L-5,TTC,SC,11-04-2019,,12-08-2021,,,,,,,,,,,
HJP/3024A,HJP YARD L-5,B-200,SC,11-04-2019,,12-08-2021,,,,,,,,,,,
267/12,HJP YARD L-5,PORTAL,SC,16-11-2019,,,08-05-2022,,,,,,,,,,
267/12A,HJP YARD L-5,PORTAL,SC,16-11-2019,,,08-05-2022,,,,,,,,,,
267/14,HJP YARD L-5,PORTAL,SC,16-11-2019,18-09-2020,19-12-2021,08-05-2022,,,,,,,,,,
HJP/4006A,HJP YARD L-6,B-200,DC,09-04-2019,07-04-2020,,overdue,,,,,,,,,,
HJP/4005A,HJP YARD L-6,B-150,SC,16-11-2019,07-04-2020,,overdue,,,,,,,,,,
HJP/4006B,HJP YARD L-6,B-200,DC,09-04-2019,07-04-2020,01-06-2021,25-04-2022,,,,,,,,,,
HJP/4008,HJP YARD L-6,B-150,SC,09-04-2019,07-04-2020,18-02-2022,,,,,,,,,,,
HJP/4010,HJP YARD L-6,B-150,SC,16-11-2019,07-04-2020,18-02-2022,,,,,,,,,,,
HJP/4012,HJP YARD L-6,B-150,DC,16-11-2019,07-04-2020,18-02-2022,,,,,,,,,,,
HJP/4014,HJP YARD L-6,B-150,SC,16-11-2019,07-04-2020,18-02-2022,,,,,,,,,,,
HJP/4016,HJP YARD L-6,B-175,SC,16-11-2019,07-04-2020,18-02-2022,,,,,,,,,,,
HJP/4018,HJP YARD L-6,B-175,DC,16-11-2019,07-04-2020,31-05-2021,29-04-2022,,,,,,,,,,
HJP/4020,HJP YARD L-6,B-200,DC,09-07-2019,,31-05-2021,29-04-2022,,,,,,,,,,
HJP/3001A,HJP YARD L-6,PORTAL,SC,16-11-2019,,18-02-2022,,,,,,,,,,,
HJP/3002A,HJP YARD L-6,PORTAL,SC,16-11-2019,,18-02-2022,,,,,,,,,,,
HJP/3003A,HJP YARD L-6,PORTAL,DC,16-11-2019,26-09-2020,31-05-2021,,,,,,,,,,,
HJP/3004A,HJP YARD L-6,PORTAL,DC,16-11-2019,26-09-2020,31-05-2021,,,,,,,,,,,
HJP/3006A,HJP YARD L-6,PORTAL,SC,16-11-2019,,17-07-2021,,,,,,,,,,,
HJP/3008,HJP YARD L-6,TTC,SC,16-11-2019,,17-07-2021,,,,,,,,,,,
HJP/3010,HJP YARD L-6,TTC,SC,16-11-2019,,17-07-2021,,,,,,,,,,,
HJP/3012,HJP YARD L-6,TTC,SC,16-11-2019,,17-07-2021,,,,,,,,,,,
HJP/3014,HJP YARD L-6,TTC,SC,09-01-2020,,17-07-2021,,,,,,,,,,,
HJP/3016,HJP YARD L-6,TTC,SC,09-01-2020,,17-07-2021,,,,,,,,,,,
HJP/3018,HJP YARD L-6,TTC,SC,09-01-2020,,17-07-2021,,,,,,,,,,,
HJP/3020,HJP YARD L-6,TTC,SC,09-01-2020,,17-07-2021,,,,,,,,,,,
HJP/3022,HJP YARD L-6,TTC,SC,09-01-2020,,17-07-2021,,,,,,,,,,,
HJP/3026,HJP YARD L-6,B-175,SC,09-01-2020,,17-07-2021,,,,,,,,,,,
HJP/3028,HJP YARD L-6,B-150,SC,09-01-2020,,17-07-2021,,,,,,,,,,,
HJP/3030,HJP YARD L-6,B-150,SC,09-01-2020,,17-07-2021,,,,,,,,,,,
HJP/3032,HJP YARD L-6,B-175,SC,16-11-2019,19-09-2020,17-07-2021,07-05-2022,,,,,,,,,,
HJP/3034,HJP YARD L-6,B-200,DC,16-11-2019,19-09-2020,,07-05-2022,,,,,,,,,,
HJP/3036,HJP YARD L-6,B-175,DC,16-11-2019,19-09-2020,,07-05-2022,,,,,,,,,,
HJP/3038,HJP YARD L-6,B-175,DC,16-11-2019,19-09-2020,21-02-2022,07-05-2022,,,,,,,,,,
HJP/3040,HJP YARD L-6,B-200,SC,16-11-2019,,,overdue,,,,,,,,,,
267/24,HJP YARD L-6,TTC,SC,16-11-2019,05-11-2020,,,,,,,,,,,,
267/30,HJP YARD L-6,B-200,DC,16-11-2019,05-11-2020,,overdue,,,,,,,,,,
267/32,HJP YARD L-6,B-175,DC,16-11-2019,05-11-2020,,overdue,,,,,,,,,,
HJP/3001A,HJP YARD L-7,PORTAL,SC,09-07-2019,19-04-2020,31-05-2021,29-04-2022,,,,,,,,,,
HJP/3002A,HJP YARD L-7,PORTAL,DC,,19-04-2020,31-05-2021,29-09-2022,,,,,,,,,,
HJP/3003A,HJP YARD L-7,PORTAL,SC,,19-04-2020,,29-04-2022,,,,,,,,,,
HJP/3004A,HJP YARD L-7,PORTAL,SC,,19-04-2020,,25-04-2022,,,,,,,,,,
HJP/3006A,HJP YARD L-7,PORTAL,SC,,19-04-2020,,25-04-2022,,,,,,,,,,
HJP/4024,HJP YARD L-7,B-150,SC,,19-04-2020,,25-04-2022,,,,,,,,,,
HJP/3010,HJP YARD L-7,TTC,SC,,19-04-2020,,25-04-2022,,,,,,,,,,
HJP/4026,HJP YARD L-7,B-150,SC,,19-04-2020,,25-04-2022,,,,,,,,,,
HJP/4027,HJP YARD L-7,B-150,SC,,19-04-2020,,25-04-2022,,,,,,,,,,
HJP/4028,HJP YARD L-7,B-150,SC,,19-04-2020,,25-04-2022,,,,,,,,,,
HJP/4029,HJP YARD L-7,B-150,SC,,19-04-2020,,25-04-2022,,,,,,,,,,
HJP/4030,HJP YARD L-7,B-150,SC,,19-04-2020,,25-04-2022,,,,,,,,,,
HJP/4031,HJP YARD L-7,B-150,SC,,19-04-2020,,25-04-2022,,,,,,,,,,
HJP/4032,HJP YARD L-7,B-150,SC,,19-04-2020,,25-04-2022,,,,,,,,,,
HJP/4033,HJP YARD L-7,B-150,SC,,19-04-2020,,25-04-2022,,,,,,,,,,
HJP/4034,HJP YARD L-7,B-150,SC,16-11-2019,19-04-2020,,25-04-2022,,,,,,,,,,
HJP/4035,HJP YARD L-7,B-150,SC,16-11-2019,19-04-2020,,25-04-2022,,,,,,,,,,
HJP/4036,HJP YARD L-7,B-175,SC,16-11-2019,19-09-2020,,07-05-2022,,,,,,,,,,
267/21,HJP STABLING L-1,PORTAL,SC,12-10-2019,01-01-2022,01-01-2022,,,,,,,,,,,
HJP/2005,HJP STABLING L-1,BFB,SC,12-10-2019,01-01-2022,01-01-2022,,,,,,,,,,,
HJP/2007,HJP STABLING L-1,RSJ,SC,12-10-2019,01-01-2022,01-01-2022,,,,,,,,,,,
HJP/2009,HJP STABLING L-1,B-150,SC,12-10-2019,01-01-2022,01-01-2022,,,,,,,,,,,
HJP/2011,HJP STABLING L-1,B-150,SC,12-10-2019,01-01-2022,01-01-2022,,,,,,,,,,,
267/21,HJP STABLING L-2,PORTAL,DC,12-10-2019,09-04-2020,01-01-2022,,,,,,,,,,,
HJP/1019,HJP STABLING L-2,RSJ,SC,12-10-2019,01-01-2022,01-01-2022,,,,,,,,,,,
HJP/1021,HJP STABLING L-2,BFB,SC,12-10-2019,01-01-2022,01-01-2022,,,,,,,,,,,
HJP/1023,HJP STABLING L-2,BFB,SC,12-10-2019,01-01-2022,01-01-2022,,,,,,,,,,,
HJP/1025A,HJP STABLING L-2,B-200,SC,12-10-2019,01-01-2022,01-01-2022,,,,,,,,,,,
HJP/1027,HJP STABLING L-2,B-150,SC,12-10-2019,01-01-2022,01-01-2022,,,,,,,,,,,
HJP/1029,HJP STABLING L-2,B-150,SC,12-10-2019,01-01-2022,01-01-2022,,,,,,,,,,,
HJP/1031,HJP STABLING L-2,RSJ,SC/DC/TC,12-10-2019,01-01-2022,01-01-2022,,,,,,,,,,,
267/11,HJP Saloon Siding,PORTAL,SC,12-10-2019,,14-08-2021,,,,,,,,,,,
267/11A,HJP Saloon Siding,PORTAL,SC,12-10-2019,,14-08-2021,,,,,,,,,,,
267/13,HJP Saloon Siding,PORTAL,SC,12-10-2019,,14-08-2021,,,,,,,,,,,
267/15,HJP Saloon Siding,PORTAL,SC,12-10-2019,,,08-07-2022,,,,,,,,,,
HJP/1015,HJP Saloon Siding,B-150,TC,12-10-2019,11-04-2020,08-04-2021,overdue,,,,,,,,,,
267/19,HJP Saloon Siding,,TC,12-10-2019,,08-04-2021,08-07-2022,,,,,,,,,,
HJP/2001,HJP Saloon Siding,,SC/DC/TC,12-10-2019,,14-08-2021,,,,,,,,,,,
267/01,UP Line,PORTAL,SC,,20-07-2020,16-07-2021,,,,,,,,,,,
267/03,UP Line,PORTAL,SC,,20-07-2020,16-07-2021,,,,,,,,,,,
267/05,UP Line,PORTAL,SC,,20-07-2020,16-07-2021,,,,,,,,,,,
267/07,UP Line,PORTAL,SC,,20-07-2020,16-07-2021,,,,,,,,,,,
267/09,UP Line,PORTAL,SC,,20-07-2020,16-07-2021,,,,,,,,,,,
267/11,UP Line,PORTAL,SC,,20-07-2020,30-05-2021,,,,,,,,,,,
267/11A,UP Line,PORTAL,SC,,20-07-2020,30-05-2021,,,,,,,,,,,
267/13,UP Line,PORTAL,DC,,11-04-2020,30-05-2021,,,,,,,,,,,
267/15,UP Line,PORTAL,TC,09-04-2019,11-04-2020,30-05-2021,,,,,,,,,,,
267/17,UP Line,B-200,TC,20-10-2019,11-04-2020,30-05-2021,,,,,,,,,,,
267/19,UP Line,TTC,DC,20-10-2019,11-04-2020,30-05-2021,overdue,,,,,,,,,,
267/21,UP Line,TTC,DC,20-10-2019,09-04-2020,08-04-2021,05-05-2022,,,,,,,,,,
267/23,UP Line,PORTAL,TC,20-10-2019,09-04-2020,,06-05-2022,,,,,,,,,,
267/25,UP Line,B-200,DC,20-10-2019,09-04-2020,12-09-2021,,,,,,,,,,,
267/27,UP Line,B-200,SC,20-10-2019,,12-09-2021,,,,,,,,,,,
267/29,UP Line,RSJ,SC,20-10-2019,,12-09-2021,,,,,,,,,,,
267/31,UP Line,BFB,SC,20-10-2019,,,overdue,,,,,,,,,,
267/33,UP Line,BFB,SC,20-10-2019,,,overdue,,,,,,,,,,
267/35,UP Line,BFB,SC,20-10-2019,,,overdue,,,,,,,,,,
267/37,UP Line,BFB,SC,,,,overdue,,,,,,,,,,
267/39,UP Line,PORTAL,SC/DC/TC,,,,,,,,,,,,,,
267/41,UP Line,PORTAL,SC/DC/TC,,,,,,,,,,,,,,
267/43,UP Line,PORTAL,SC/DC/TC,,,,,,,,,,,,,,
267/02,DN Line,PORTAL,SC,,12-06-2020,,27-07-2022,,,,,,,,,,
267/04,DN Line,PORTAL,SC,,12-06-2020,,27-07-2022,,,,,,,,,,
267/06,DN Line,PORTAL,SC,,12-06-2020,,27-07-2022,,,,,,,,,,
267/08,DN Line,PORTAL,SC,,12-06-2020,,27-07-2022,,,,,,,,,,
267/10,DN Line,PORTAL,SC,,09-08-2020,05-11-2021,,,,,,,,,,,
267/12,DN Line,PORTAL,SC,,09-08-2020,05-11-2021,08-05-2022,,,,,,,,,,
267/12A,DN Line,PORTAL,SC,,,,08-05-2022,,,,,,,,,,
267/14,DN Line,PORTAL,DC,,,,08-05-2022,,,,,,,,,,
267/16,DN Line,PORTAL,TC,,,,08-05-2022,,,,,,,,,,
267/18,DN Line,B-150,DC,07-12-2019,05-11-2020,11-12-2021,07-05-2022,,,,,,,,,,
267/20,DN Line,B-150,TC,09-04-2019,09-04-2020,,05-05-2022,,,,,,,,,,
267/22,DN Line,B-150,TC,09-04-2019,,,NO CLA,,,,,,,,,,
267/24,DN Line,RSJ,TC,,09-06-2020,,20-06-2022,,,,,,,,,,
267/26,DN Line,TTC,TC,,09-06-2020,,20-06-2022,,,,,,,,,,
267/28,DN Line,TTC,TC,,09-06-2020,,20-06-2022,,,,,,,,,,
267/30,DN Line,B-150,SC,,09-06-2020,,20-06-2022,,,,,,,,,,
267/32,DN Line,RSJ,SC,,09-06-2020,,20-06-2022,,,,,,,,,,
267/34,DN Line,B-150,DC,,09-06-2020,,overdue,,,,,,,,,,
267/36,DN Line,B-150,DC,,09-06-2020,,overdue,,,,,,,,,,
267/38,DN Line,B-150,DC,,09-08-2020,,overdue,,,,,,,,,,
267/40,DN Line,RSJ,SC,,09-08-2020,,overdue,,,,,,,,,,
267/42,DN Line,B-150,SC,,09-08-2020,,overdue,,,,,,,,,,
267/44,DN Line,B-150,SC,,,,overdue,,,,,,,,,,
268/01,UP Line,BFB,SC,,08-07-2020,,28-07-2022,,,,,,,,,,
268/03,UP Line,RSJ,SC,,08-07-2020,,28-07-2022,,,,,,,,,,
268/05,UP Line,BFB,SC,,08-07-2020,,28-07-2022,,,,,,,,,,
268/07,UP Line,RSJ,SC,,08-07-2020,,28-07-2022,,,,,,,,,,
268/09,UP Line,BFB,SC,,08-07-2020,,28-07-2022,,,,,,,,,,
268/11,UP Line,BFB,SC,,08-07-2020,17-12-2021,,,,,,,,,,,
268/13,UP Line,RSJ,SC,,08-07-2020,17-12-2021,,,,,,,,,,,
268/15,UP Line,RSJ,SC,,08-07-2020,17-12-2021,,,,,,,,,,,
268/17,UP Line,BFB,SC,,08-07-2020,17-12-2021,,,,,,,,,,,
268/19,UP Line,BFB,SC,,08-07-2020,17-12-2021,,,,,,,,,,,
268/21,UP Line,BFB,SC,,08-07-2020,,28-07-2022,,,,,,,,,,
268/23,UP Line,BFB,SC,,09-07-2020,,28-07-2022,,,,,,,,,,
268/25,UP Line,BFB,SC,,09-07-2020,,overdue,,,,,,,,,,
268/27,UP Line,BFB,SC,,09-07-2020,,overdue,,,,,,,,,,
268/29,UP Line,BFB,SC,,09-07-2020,,overdue,,,,,,,,,,
268/31,UP Line,RSJ,SC,,09-07-2020,,overdue,,,,,,,,,,
268/33,UP Line,B-150,DC,,09-07-2020,,overdue,,,,,,,,,,
268/35,UP Line,B-150,DC,,12-04-2020,,20-06-2022,,,,,,,,,,
268/37,UP Line,RSJ,SC,,12-04-2020,,20-06-2022,,,,,,,,,,
268/39,UP Line,BFB,SC,,12-04-2020,,20-06-2022,,,,,,,,,,
268/41,UP Line,BFB,SC,,12-04-2020,,20-06-2022,,,,,,,,,,
268/45,UP Line,,SC/DC/TC,,12-04-2020,,20-06-2022,,,,,,,,,,
268/47,UP Line,,SC/DC/TC,,12-04-2020,,20-06-2022,,,,,,,,,,
268/02,DN Line ,B-150,SC,,07-04-2020,,overdue,,,,,,,,,,
268/04,DN Line ,B-150,SC,,07-04-2020,,overdue,,,,,,,,,,
268/06,DN Line ,B-150,SC,,07-04-2020,,overdue,,,,,,,,,,
268/08,DN Line ,B-150,SC,,07-04-2020,,overdue,,,,,,,,,,
268/10,DN Line,B-150,SC,,07-04-2020,14-12-2021,,,,,,,,,,,
268/12,DN Line,B-150,SC,,06-04-2020,14-12-2021,,,,,,,,,,,
268/14,DN Line,B-150,SC,,06-04-2020,14-12-2021,,,,,,,,,,,
268/16,DN Line,B-150,SC,,06-04-2020,14-12-2021,,,,,,,,,,,
268/18,DN Line,B-150,SC,,06-04-2020,14-12-2021,,,,,,,,,,,
268/20,DN Line,B-150,SC,,06-04-2020,,overdue,,,,,,,,,,
268/22,DN Line,B-150,SC,,09-04-2020,,overdue,,,,,,,,,,
268/24,DN Line,B-150,SC,,09-04-2020,,overdue,,,,,,,,,,
268/26,DN Line,B-150,SC,,09-04-2020,,overdue,,,,,,,,,,
268/28,DN Line,B-150,SC,,05-04-2020,,overdue,,,,,,,,,,
268/30,DN Line,B-150,SC,,05-04-2020,,overdue,,,,,,,,,,
268/32,DN Line,B-150,SC,,05-04-2020,,overdue,,,,,,,,,,
268/34,DN Line,B-150,SC,,05-04-2020,,overdue,,,,,,,,,,
268/36,DN Line,RSJ,SC,,06-04-2020,,overdue,,,,,,,,,,
268/38,DN Line,B-150,DC,,06-04-2020,,overdue,,,,,,,,,,
268/40,DN Line,B-150,DC,,06-04-2020,,overdue,,,,,,,,,,
268/42,DN Line,RSJ,SC,,06-04-2020,,overdue,,,,,,,,,,
268/44,DN Line,B-150,SC,,06-04-2020,,overdue,,,,,,,,,,
268/46,DN Line,B-150,SC,,06-04-2020,,overdue,,,,,,,,,,
268/48,DN Line,B-150,SC,,09-04-2020,,overdue,,,,,,,,,,
269/01,UP Line,BFB,SC,10-04-2019,,04-08-2021,,,,,,,,,,,
269/03,UP Line,BFB,SC,10-04-2019,,04-08-2021,,,,,,,,,,,
269/05,UP Line,RSJ,SC,10-04-2019,,04-08-2021,,,,,,,,,,,
269/07,UP Line,B-150,DC,10-04-2019,12-04-2020,12-08-2021,overdue,,,,,,,,,,
269/09,UP Line,B-150,DC,10-04-2019,12-04-2020,12-08-2021,overdue,,,,,,,,,,
269/11,UP Line,B-150,DC,,12-04-2020,12-08-2021,overdue,,,,,,,,,,
269/13,UP Line,RSJ,SC,,12-04-2020,14-12-2021,26-04-2022,,,,,,,,,,
269/15,UP Line,BFB,SC,,12-04-2020,14-12-2021,26-04-2022,,SL NO,Location,Line,Mast type,Loc / Load Type,19-20,20-21,21-22,22-23
269/17,UP Line (Gandak),BFB,SC,,09-07-2020,17-12-2021,,,1081,269/17,UP Line (Gandak),BFB,SC,,09-07-2020,17-12-2021,
269/19,UP Line (Gandak),Channel,SC,28-06-2019,,,14-06-2022,,1082,269/19,UP Line (Gandak),Channel,SC,28-06-2019,,,14-06-2022
269/21,UP Line (Gandak),Channel,SC,28-06-2019,,,14-06-2022,,1083,269/21,UP Line (Gandak),Channel,SC,28-06-2019,,,14-06-2022
269/23,UP Line (Gandak),Channel,SC,28-06-2019,,,14-06-2022,,1084,269/23,UP Line (Gandak),Channel,SC,28-06-2019,,,14-06-2022
269/25,UP Line (Gandak),Channel,SC,,09-07-2020,,15-06-2022,,1085,269/25,UP Line (Gandak),Channel,SC,,09-07-2020,,15-06-2022
269/27,UP Line (Gandak),Channel,SC,,19-04-2020,,15-06-2022,,1086,269/27,UP Line (Gandak),Channel,SC,,19-04-2020,,15-06-2022
269/29,UP Line (Gandak),Channel,SC,,,,15-06-2022,,,269/29,UP Line (Gandak),Channel,SC,,,,15-06-2022
269/31,UP Line (Gandak),Channel,SC,,19-04-2020,,16-06-2022,,1087,269/31,UP Line (Gandak),Channel,SC,,19-04-2020,,overdue
269/33,UP Line (Gandak),Channel,SC,,19-04-2020,,16-06-2022,,1088,269/33,UP Line (Gandak),Channel,SC,,19-04-2020,,overdue
269/35,UP Line (Gandak),Channel,SC,,19-04-2020,,16-06-2022,,1089,269/35,UP Line (Gandak),Channel,SC,,19-04-2020,,overdue
269/37,UP Line (Gandak),Channel,SC,,20-04-2020,,16-06-2022,,1090,269/37,UP Line (Gandak),Channel,SC,,20-04-2020,,overdue
269/39,UP Line (Gandak),Channel,SC,,20-04-2020,,16-06-2022,,1091,269/39,UP Line (Gandak),Channel,SC,,20-04-2020,,10-04-2022
269/41,UP Line (Gandak),Channel,SC,,20-04-2020,,14-06-2022,,1092,269/41,UP Line (Gandak),Channel,SC,,20-04-2020,,10-04-2022
269/43,UP Line (Gandak),Channel,SC,,20-04-2020,,14-06-2022,,1093,269/43,UP Line (Gandak),Channel,SC,,20-04-2020,,14-06-2022
269/45,NO CLA,,,,20-04-2020,,,,1094,269/45,UP Line (Gandak),Channel,SC,,20-04-2020,,overdue
269/02,DN Line ,B-150,SC,,09-04-2020,,overdue,,1095,269/02,DN Line (Gandak),B-150,SC,,09-04-2020,,overdue
269/04,DN Line ,B-150,SC,,09-04-2020,,overdue,,1096,269/04,DN Line (Gandak),B-150,SC,,09-04-2020,,overdue
269/06,DN Line ,RSJ,SC,,09-04-2020,,20-06-2022,,1097,269/06,DN Line (Gandak),RSJ,SC,,09-04-2020,,overdue
269/08,DN Line,B-150,DC,20-12-2019,05-04-2020,,07-05-2022,,1102,269/16,DN Line (Gandak),B-150,SC,25-06-2019,,,04-04-2022
269/10,DN Line,B-150,DC,,05-04-2020,14-12-2021,07-05-2022,,1103,269/18,DN Line (Gandak),B-150,SC,25-06-2019,10-04-2020,14-12-2021,04-04-2022
269/12,DN Line,RSJ,SC,,,,04-04-2022,,1104,269/20,DN Line (Gandak),Channel,SC,25-06-2019,10-04-2020,,04-04-2022
269/14,DN Line,B-150,SC,,,,04-04-2022,,1105,269/22,DN Line (Gandak),B-150,SC,25-06-2019,10-04-2020,,04-04-2022
269/16,DN Line,B-150,SC,25-06-2019,,,04-04-2022,,1106,269/24,DN Line (Gandak),Channel,SC,25-06-2019,10-04-2020,,04-04-2022
269/18,DN Line (Gandak),B-150,SC,25-06-2019,10-04-2020,14-12-2021,04-04-2022,,1107,269/26,DN Line (Gandak),B-150,SC,25-06-2019,10-04-2020,,04-04-2022
269/20,DN Line (Gandak),Channel,SC,25-06-2019,10-04-2020,,04-04-2022,,1108,269/28,DN Line (Gandak),Channel,SC,25-06-2019,10-04-2020,,04-04-2022
269/22,DN Line (Gandak),B-150,SC,25-06-2019,10-04-2020,,04-04-2022,,1109,269/30,DN Line (Gandak),B-150,SC,25-06-2019,10-04-2020,,04-04-2022
269/24,DN Line (Gandak),Channel,SC,25-06-2019,10-04-2020,,04-04-2022,,1110,269/32,DN Line (Gandak),Channel,SC,25-06-2019,10-04-2020,,04-04-2022
269/26,DN Line (Gandak),B-150,SC,25-06-2019,10-04-2020,,04-04-2022,,1111,269/34,DN Line (Gandak),B-150,SC,25-06-2019,10-04-2020,,14-06-2022
269/28,DN Line (Gandak),Channel,SC,25-06-2019,10-04-2020,,04-04-2022,,1112,269/36,DN Line (Gandak),Channel,SC,25-06-2019,10-04-2020,,14-06-2022
269/30,DN Line (Gandak),B-150,SC,25-06-2019,10-04-2020,,04-04-2022,,1113,269/38,DN Line (Gandak),B-150,SC,25-06-2019,10-04-2020,,14-06-2022
269/32,DN Line (Gandak),Channel,SC,25-06-2019,10-04-2020,,04-04-2022,,1114,269/40,DN Line (Gandak),Channel,SC,25-06-2019,10-04-2020,,14-06-2022
269/34,DN Line (Gandak),B-150,SC,25-06-2019,10-04-2020,,14-06-2022,,1115,269/42,DN Line (Gandak),B-150,SC,25-06-2019,10-04-2020,,14-06-2022
269/36,DN Line (Gandak),Channel,SC,25-06-2019,10-04-2020,,14-06-2022,,1116,269/44,DN Line (Gandak),Channel,SC,25-06-2019,10-04-2020,,10-04-2022
269/38,DN Line (Gandak),B-150,SC,25-06-2019,10-04-2020,,14-06-2022,,,,,,,,,,
269/40,DN Line (Gandak),Channel,SC,25-06-2019,10-04-2020,,14-06-2022,,,,,,,,,,
269/42,DN Line (Gandak),B-150,SC,25-06-2019,10-04-2020,,14-06-2022,,,,,,,,,,
269/44,DN Line (Gandak),Channel,SC,25-06-2019,10-04-2020,,10-04-2022,,,,,,,,,,
270/01,UP Line  (Gandak),Channel,SC,,20-04-2020,,16-06-2022,,1141,270/02,DN Line (Gandak),B-150,SC,25-06-2019,,16-07-2021,15-06-2022
270/03,UP Line  (Gandak),Channel,SC,,20-04-2020,,16-06-2022,,1142,270/04,DN Line (Gandak),Channel,SC,25-06-2019,,16-07-2021,15-06-2022
270/05,UP Line  (Gandak),Channel,SC,,20-04-2020,,16-06-2022,,1143,270/06,DN Line (Gandak),B-150,SC,25-06-2019,,,10-04-2022
270/07,UP Line  (Gandak),B-150,SC,,20-04-2020,,16-06-2022,,,,,,,,,,
270/09,UP Line ,B-150,SC,,20-04-2020,,overdue,,,,,,,,,,
270/11,UP Line,B-150,DC,,10-07-2020,17-12-2021,,,,,,,,,,,
270/13,UP Line,B-150,DC,,10-07-2020,05-08-2021,overdue,,,,,,,,,,
270/15,UP Line,RSJ,SC,,10-07-2020,17-12-2021,,,,,,,,,,,
270/17,UP Line,BFB,SC,,10-07-2020,17-12-2021,,,,,,,,,,,
270/19,UP Line,TTC,SC,,10-07-2020,17-12-2021,,,,,,,,,,,
270/21,UP Line,TTC,SC,,10-07-2020,,overdue,,,,,,,,,,
270/23,UP Line,TTC,SC,,10-07-2020,,overdue,,,,,,,,,,
270/25,UP Line,BFB,SC,,10-07-2020,,overdue,,,,,,,,,,
270/27,UP Line,BFB,SC,,10-07-2020,,overdue,,,,,,,,,,
270/29,UP Line,BFB,SC,,11-07-2020,,overdue,,,,,,,,,,
270/31,UP Line,RSJ,SC,,11-07-2020,,overdue,,,,,,,,,,
270/33,UP Line,BFB,SC,,11-07-2020,,overdue,,,,,,,,,,
270/35,UP Line,RSJ,SC,,11-07-2020,,overdue,,,,,,,,,,
270/37,UP Line,B-150,SC,,11-07-2020,,overdue,,,,,,,,,,
270/39,UP Line,BFB,SC,,11-07-2020,,overdue,,,,,,,,,,
270/41,UP Line,BFB,SC,,11-07-2020,,overdue,,,,,,,,,,
270/02,DN Line (Gandak),B-150,SC,25-06-2019,,16-07-2021,15-06-2022,,,,,,,,,,
270/04,DN Line (Gandak),Channel,SC,25-06-2019,,16-07-2021,15-06-2022,,,,,,,,,,
270/06,DN Line (Gandak),B-150,SC,25-06-2019,,,10-04-2022,,,,,,,,,,
270/08,DN Line (Gandak),B-150,SC,25-06-2019,,,10-04-2022,,,,,,,,,,
270/10,DN Line,B-150,SC,25-06-2019,,15-07-2021,,,,,,,,,,,
270/12,DN Line,RSJ,SC,05-07-2019,,15-07-2021,,,,,,,,,,,
270/14,DN Line,B-150,DC,05-07-2019,08-09-2020,19-12-2021,14-06-2022,,,,,,,,,,
270/16,DN Line,B-150,DC,05-07-2019,08-09-2020,19-12-2021,15-06-2022,,,,,,,,,,
270/18,DN Line,B-200,DC,21-05-2019,08-09-2020,19-12-2021,15-06-2022,,,,,,,,,,
270/18A,DN Line,RSJ,SC/DC/TC,21-05-2019,NO CLA,,NO CLA,,,,,,,,,,
270/20,DN Line,B-200,SC,05-07-2019,,,16-06-2022,,,,,,,,,,
270/22,DN Line,B-150,SC,05-07-2019,,,16-06-2022,,,,,,,,,,
270/24,DN Line,B-150,SC,05-07-2019,,,16-06-2022,,,,,,,,,,
270/26,DN Line,B-150,SC,05-07-2019,,,16-06-2022,,,,,,,,,,
270/28,DN Line,B-150,SC,05-07-2019,,,19-06-2022,,,,,,,,,,
270/30,DN Line,B-150,SC,05-07-2019,,,19-06-2022,,,,,,,,,,
270/32,DN Line,B-150,SC,05-07-2019,,,19-06-2022,,,,,,,,,,
270/34,DN Line,B-150,SC,05-07-2019,,,19-06-2022,,,,,,,,,,
270/36,DN Line,B-150,SC,05-07-2019,,,19-06-2022,,,,,,,,,,
270/38,DN Line,B-150,SC,05-07-2019,,,19-06-2022,,,,,,,,,,
270/40,DN Line,B-150,SC,28-06-2019,,,19-06-2022,,,,,,,,,,
270/42,DN Line,B-150,SC,28-06-2019,,,19-06-2022,,,,,,,,,,
270/44,DN Line,B-150,SC,28-06-2019,,,19-06-2022,,,,,,,,,,
270/46,DN Line,B-150,SC,28-06-2019,,,20-06-2022,,,,,,,,,,
270/48,DN Line,B-150,SC,28-06-2019,,,20-06-2022,,,,,,,,,,
271/01,UP Line,B-200,SC,,11-07-2020,,overdue,,,,,,,,,,
