Location,Line,Mast type,Loc / Load Type,FY19-20,FY20-21,FY21-22,FY22-23,,,,,,,,,,
230/03,Single M/L,BFB,SC,12-02-2020,,,overdue,,,,,,,,,,
230/04,Single M/L,RSJ,SC,12-02-2020,,,overdue,,,,,,,,,,
230/05,Single M/L,B-150,DC,12-02-2020,,,overdue,,,,,,,,,,
230/06,Single M/L,B-150,DC,12-02-2020,,,overdue,,,,,,,,,,
230/07,Single M/L,RSJ,SC,12-02-2020,,,overdue,,,,,,,,,,
230/08,Single M/L,BFB,SC,12-02-2020,,,overdue,,,,,,,,,,
230/09,Single M/L,BFB,SC,12-02-2020,,,overdue,,,,,,,,,,
230/10,Single M/L,BFB,SC,12-02-2020,,,overdue,,,,,,,,,,
230/11,Single M/L,BFB,SC,12-02-2020,,,overdue,,,,,,,,,,
230/12,Single M/L,BFB,SC,12-02-2020,,,overdue,,,,,,,,,,
230/13,Single M/L,RSJ,SC,12-02-2020,,,overdue,,,,,,,,,,
230/14,Single M/L,BFB,SC,12-02-2020,,,overdue,,,,,,,,,,
231/01,Single M/L,RSJ,SC,12-02-2020,,08-01-2022,,,,,,,,,,,
231/02,Single M/L,BFB,SC,12-02-2020,,08-01-2022,,,,,,,,,,,
231/03,Single M/L,BFB,SC,12-02-2020,,08-01-2022,,,,,,,,,,,
231/04,Single M/L,BFB,SC,,,08-01-2022,,,,,,,,,,,
231/05,Single M/L,BFB,SC,11-05-2019,,08-01-2022,,,,,,,,,,,
231/06,Single M/L,BFB,SC,11-05-2019,,08-01-2022,,,,,,,,,,,
231/07,Single M/L,RSJ,SC,11-05-2019,,08-01-2022,,,,,,,,,,,
231/08,Single M/L,B-150,DC,11-05-2019,,,overdue,,,,,,,,,,
231/09,Single M/L,B-150,DC,11-05-2019,,,overdue,,,,,,,,,,
231/10,Single M/L,RSJ,SC,11-05-2019,,20-11-2021,,,,,,,,,,,
231/11,Single M/L,BFB,SC,11-05-2019,,20-11-2021,,,,,,,,,,,
231/12,Single M/L,BFB,SC,11-05-2019,,20-11-2021,,,,,,,,,,,
231/13,Single M/L,BFB,SC,11-05-2019,,20-11-2021,,,,,,,,,,,
231/14,Single M/L,BFB,SC,11-05-2019,,20-11-2021,,,,,,,,,,,
231/15,Single M/L,BFB,SC,11-05-2019,,20-11-2021,,,,,,,,,,,
232/01,Single M/L,RSJ,SC,07-05-2019,,18-11-2021,,,,,,,,,,,
232/02,Single M/L,BFB,SC,07-05-2019,,18-11-2021,,,,,,,,,,,
232/03,Single M/L,RSJ,SC,07-05-2019,,18-11-2021,,,,,,,,,,,
232/04,Single M/L,BFB,SC,07-05-2019,,18-11-2021,,,,,,,,,,,
232/05,Single M/L,BFB,SC,07-05-2019,,18-11-2021,,,,,,,,,,,
232/06,Single M/L,BFB,SC,07-05-2019,,18-11-2021,,,,,,,,,,,
232/07,Single M/L,BFB,SC,07-05-2019,,18-11-2021,,,,,,,,,,,
232/08,Single M/L,BFB,SC,07-05-2019,,18-11-2021,,,,,,,,,,,
232/09,Single M/L,RSJ,SC,07-05-2019,,16-11-2021,,,,,,,,,,,
232/10,Single M/L,B-150,DC,07-05-2019,21-07-2020,16-11-2021,,,,,,,,,,,
232/11,Single M/L,B-150,DC,07-05-2019,21-07-2020,16-11-2021,,,,,,,,,,,
232/12,Single M/L,RSJ,SC,07-05-2019,,16-11-2021,,,,,,,,,,,
232/13,Single M/L,BFB,SC,07-05-2019,,16-11-2021,,,,,,,,,,,
232/14,Single M/L,BFB,SC,07-05-2019,,16-11-2021,,,,,,,,,,,
232/15,Single M/L,BFB,SC,07-05-2019,,,overdue,,,,,,,,,,
233/01,Single M/L,BFB,SC,19-02-2020,21-07-2020,,02-05-2022,,,,,,,,,,
233/02,Single M/L,BFB,SC,19-02-2020,21-07-2020,,02-05-2022,,,,,,,,,,
233/03,Single M/L,BFB,SC,09-01-2020,21-07-2020,,02-05-2022,,,,,,,,,,
233/04,Single M/L,RSJ,SC,19-02-2020,21-07-2020,,02-05-2022,,,,,,,,,,
233/05,Single M/L,BFB,SC,,17-07-2020,,02-05-2022,,,,,,,,,,
233/06,Single M/L,RSJ,SC,,17-07-2020,,02-05-2022,,,,,,,,,,
233/07,Single M/L,BFB,SC,,17-07-2020,,02-05-2022,,,,,,,,,,
233/08,Single M/L,BFB,SC,,17-07-2020,,02-05-2022,,,,,,,,,,
233/09,Single M/L,BFB,SC,,17-07-2020,,02-05-2022,,,,,,,,,,
233/10,Single M/L,BFB,SC,,17-07-2020,,02-05-2022,,,,,,,,,,
233/11,Single M/L,BFB,SC,,17-07-2020,,02-05-2022,,,,,,,,,,
233/12,Single M/L,BFB,SC,,17-07-2020,,02-05-2022,,,,,,,,,,
233/13,Single M/L,RSJ,SC,,17-07-2020,,02-05-2022,,,,,,,,,,
233/14,Single M/L,B-150,DC,09-01-2020,17-07-2020,08-01-2022,,,,,,,,,,,
233/15,Single M/L,B-150,DC,09-01-2020,17-07-2020,08-01-2022,,,,,,,,,,,
234/01,Single M/L,RSJ,SC,,16-07-2020,,overdue,,,,,,,,,,
234/02,Single M/L,BFB,SC,,16-07-2020,,overdue,,,,,,,,,,
234/03,Single M/L,BFB,SC,,16-07-2020,,overdue,,,,,,,,,,
234/04,Single M/L,BFB,SC,,16-07-2020,,overdue,,,,,,,,,,
234/05,Single M/L,BFB,SC,,16-07-2020,,overdue,,,,,,,,,,
234/06,Single M/L,RSJ,SC,,16-07-2020,,overdue,,,,,,,,,,
234/07,Single M/L,B-150,DC,09-01-2020,16-07-2020,16-10-2021,,,,,,,,,,,
234/08,Single M/L,B-150,DC,09-01-2020,16-07-2020,16-10-2021,,,,,,,,,,,
234/09,Single M/L,RSJ,SC,,16-07-2020,,overdue,,,,,,,,,,
234/10,Single M/L,BFB,SC,,16-07-2020,,overdue,,,,,,,,,,
234/11,Single M/L,BFB,SC,,16-07-2020,,overdue,,,,,,,,,,
234/12,Single M/L,BFB,SC,,16-07-2020,,overdue,,,,,,,,,,
234/13,Single M/L,BFB,SC,,16-07-2020,,overdue,,,,,,,,,,
234/14,Single M/L,BFB,SC,,16-07-2020,,overdue,,,,,,,,,,
234/15,Single M/L,BFB,SC,18-03-2019,,,overdue,,,,,,,,,,
235/01,Single M/L,RSJ,SC,,,16-10-2021,,,,,,,,,,,
235/02,Single M/L,BFB,SC,,,16-10-2021,,,,,,,,,,,
235/03,Single M/L,RSJ,SC,,,16-10-2021,,,,,,,,,,,
235/04,Single M/L,BFB,SC,21-12-2019,,16-10-2021,,,,,,,,,,,
235/05,Single M/L,BFB,SC,21-12-2019,,16-10-2021,,,,,,,,,,,
235/06,Single M/L,BFB,SC,21-12-2019,,16-10-2021,,,,,,,,,,,
235/07,Single M/L,BFB,SC,21-12-2019,,16-10-2021,,,,,,,,,,,
235/08,Single M/L,BFB,SC,21-12-2019,,16-10-2021,,,,,,,,,,,
235/09,Single M/L,BFB,SC,21-12-2019,,16-10-2021,,,,,,,,,,,
235/10,Single M/L,RSJ,SC,21-12-2019,,16-10-2021,,,,,,,,,,,
235/11,Single M/L,B-150,DC,21-12-2019,13-10-2020,16-10-2021,,,,,,,,,,,
235/12,Single M/L,B-150,DC,21-12-2019,13-10-2020,16-10-2021,,,,,,,,,,,
235/13,Single M/L,RSJ,SC,08-01-2020,,08-01-2022,,,,,,,,,,,
235/14,Single M/L,BFB,SC,08-01-2020,,08-01-2022,,,,,,,,,,,
235/15,Single M/L,BFB,SC,08-01-2020,,08-01-2022,,,,,,,,,,,
236/01,Single M/L,BFB,SC,08-01-2020,,,overdue,,,,,,,,,,
236/02,Single M/L,BFB,SC,08-01-2020,,,overdue,,,,,,,,,,
236/03,Single M/L,RSJ,SC,08-01-2020,,,overdue,,,,,,,,,,
236/04,Single M/L,B-150,DC,08-01-2020,,,02-05-2022,,,,,,,,,,
236/05,Single M/L,RSJ,SC/DC/TC,08-01-2020,,NO CLA,NO CLA,,,,,,,,,,
236/06,Single M/L,B-200,TC,08-01-2020,,,02-05-2022,,,,,,,,,,
236/07,Single M/L,B-200,TC,06-12-2019,,05-04-2021,02-05-2022,,,,,,,,,,
